Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,BHR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.005956139,0.005775539,0.005613562,0.005467857,0.005335297,0.005214308,0.005100401,0.004983728,0.004853356,0.004703558,0.004539017,0.004363859,0.004174895,0.003969656,0.00375174,0.007048408,0.00659685,0.006182896,0.00583434,0.005557284,0.005345878,0.005182018,0.005044721,0.004911266,0.004768376,0.004613802,0.004454611,0.004299208,0.004157226,0.004032819,0.003923376,0.003823456,0.003729861,0.00363909,0.003547993,0.003456213,0.00336174,0.003258911,0.003141962,0.003009266,0.002867182,0.002720541,0.002183095,0.00180756,0.00168697,0.001512916,0.001351494,0.001076629,0.001147651,0.001289426,0.001251693,0.001230564,0.00121635,0.001197249,0.001166304,,
"Bahamas, The",BHS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.060812454,0.057811584,0.054973966,0.052356804,0.049980722,0.047825315,0.045868854,0.044128679,0.042618479,0.041333538,0.040261585,0.039361445,0.038570043,0.0378176,0.037060175,0.036287856,0.035512985,0.034737213,0.033975305,0.033228742,0.032498282,0.031778459,0.031085276,0.030432798,0.034087955,0.033454466,0.032868653,0.032312918,0.031765066,0.031209038,0.030637724,0.030060045,0.029502333,0.021747404,0.021417098,0.021142394,0.020908109,0.020685375,0.020437916,0.023498607,0.023092022,0.022642217,0.022169719,0.021703677,0.021260505,0.020843879,0.020448225,0.020075944,0.025362401,0.024942355,0.021824054,0.021503122,0.021206659,0.020933147,0.020680492,,
Bosnia and Herzegovina,BIH,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200511706,0.207925687,0.215254395,0.221140398,0.238071431,0.239844517,0.253300573,0.252718856,0.265483953,0.267813296,0.264049513,0.269101226,0.271865108,0.271054309,0.271731365,0.270800212,0.267828746,0.266110708,0.26974136,0.272441523,0.274930103,0.280166513,0.283510778,0.291009997,,
Belarus,BLR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595536413,0.596151968,0.608682898,0.611340004,0.613188976,0.610358802,0.614460224,0.616551465,0.614553074,0.580245915,0.56925373,0.568453882,0.570186717,0.573473587,0.576787489,0.577243712,0.578926184,0.583163673,0.583209693,0.583648223,0.583443702,0.588886728,0.598447772,0.599075874,,
Belize,BLZ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.380135793,0.369670582,0.369394194,0.358982817,0.348665178,0.347517536,0.337202286,0.327414032,0.32701386,0.319195954,0.320530799,0.314589068,0.317106749,0.312245349,0.315173345,0.310772714,0.313893816,0.309430432,0.304306288,0.31216399,0.311724923,0.303630363,0.295208635,0.286877834,0.260730895,0.259482921,0.281092244,0.279285922,0.283426628,0.277256441,0.282536128,0.288188887,0.30361914,0.297509843,0.299570455,0.294838915,0.288800845,0.277917702,0.267753299,0.25877929,0.254917956,0.266965668,0.260097351,0.25354143,0.247107954,0.240759148,0.234578948,0.228634886,0.232536656,0.233203154,0.227830567,0.231659544,0.226624944,0.22178371,0.217096034,,
Bermuda,BMU,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.008791209,0.006437768,0.006289308,0.008179959,0.007984032,0.007843137,0.007692308,0.005660377,0.005555556,0.005454545,0.005494505,0.005535055,0.005576208,0.005617978,0.005660377,0.005639098,0.005617978,0.005597015,0.005576208,0.00548747,0.005449591,0.005410377,0.005363848,0.005316981,0.005272593,0.00522812,0.005185915,0.005141653,0.005098486,0.005056805,0.005082937,0.005119891,0.005092514,0.005057316,0.006695009,0.006652364,0.006611898,0.00656351,0.006526883,0.006469038,0.00639959,0.006358087,0.006316621,0.006275494,0.006234997,0.00619934,0.006164468,0.004596081,0.004570662,0.004606597,0.004646552,0.004629773,0.004615314,0.004605536,0.004597701,,
Bolivia,BOL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.34370897,0.337667339,0.333214511,0.336018053,0.337788871,0.340503984,0.341741157,0.344120716,0.345976858,0.347109866,0.345825134,0.347801433,0.349691956,0.349029246,0.349752468,0.352941199,0.352524621,0.350820007,0.349233323,0.347611402,0.346662992,0.345833258,0.344129826,0.343932524,0.330030347,0.325029154,0.320198888,0.315496314,0.310870995,0.30629015,0.301750971,0.301470602,0.302454348,0.316760214,0.343610185,0.348561045,0.364890473,0.370534,0.375181236,0.377000477,0.370746348,0.381355418,0.398845912,0.399097164,0.417077196,0.420646289,0.441775644,0.444381712,0.456411007,0.433242101,0.430427899,0.426506328,0.422681578,0.423445623,0.417027788,,
Brazil,BRA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.297477815,0.313425388,0.329723207,0.332640726,0.335337293,0.3378465,0.340169308,0.353368347,0.355086614,0.367158056,0.378598111,0.37945511,0.380175216,0.390218397,0.390290683,0.390153321,0.389836374,0.380696378,0.379406825,0.371410439,0.367650296,0.370232182,0.361866031,0.354666848,0.348623943,0.353791983,0.350384214,0.34582963,0.34016856,0.33933895,0.342144829,0.335155061,0.332610628,0.330264922,0.3577339,0.350838883,0.344909985,0.339172492,0.33426171,0.329609192,0.332325048,0.34140245,0.354193549,0.369858018,0.369987034,0.367901765,0.358002429,0.364029192,0.361423536,0.357542348,0.36375361,0.362019566,0.375518076,0.391830823,0.388503501,,
Barbados,BRB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.06906137,0.068791759,0.068496963,0.068216605,0.067976922,0.067783972,0.067618681,0.06745391,0.067251474,0.06698821,0.066656946,0.066268778,0.065850125,0.065429236,0.065031662,0.064661095,0.064312818,0.063991809,0.0637001,0.063443222,0.063221116,0.063031583,0.062863923,0.062697645,0.06251856,0.062320828,0.062109149,0.061889087,0.061667014,0.061450068,0.061238159,0.061025844,0.060815922,0.060602617,0.060386701,0.060163494,0.05993744,0.059712633,0.055778255,0.055587055,0.055414966,0.051569556,0.051421813,0.04760318,0.047443697,0.047266024,0.047075865,0.046877423,0.046683664,0.042923214,0.039201571,0.039064581,0.038936813,0.038816451,0.038702822,,
Brunei Darussalam,BRN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.046731156,0.044684749,0.042746003,0.040879732,0.039052966,0.05590965,0.053336178,0.050869012,0.048522883,0.04630237,0.02947114,0.02815454,0.026925148,0.025788317,0.024741605,0.02377782,0.02288683,0.022068113,0.021315599,0.015467984,0.014993628,0.014554063,0.014141871,0.013747153,0.013362315,0.012988587,0.012625094,0.012272047,0.011927765,0.007728423,0.00751106,0.007300256,0.007098466,0.006907866,0.006729656,0.006563855,0.006409476,0.006265232,0.006129535,0.006001662,0.005880329,0.005765899,0.005659486,0.005562926,0.005477081,0.005401756,0.008002902,0.007910308,0.010422855,0.010291719,0.010151949,0.010006304,0.012323892,0.012144648,0.011974843,,
